condition_id,group_id,text_endpoint,reference_endpoint,caption,reference_file
i000_pA_rA,i000,A,A,bird squawking,data/reference_audio/i000_A.wav
i000_pA_rB,i000,A,B,bird squawking,data/reference_audio/i000_B.wav
i000_pB_rA,i000,B,A,owl hooting at night,data/reference_audio/i000_A.wav
i000_pB_rB,i000,B,B,owl hooting at night,data/reference_audio/i000_B.wav
i001_pA_rA,i001,A,A,bird squawking,data/reference_audio/i001_A.wav
i001_pA_rB,i001,A,B,bird squawking,data/reference_audio/i001_B.wav
i001_pB_rA,i001,B,A,owl hooting at night,data/reference_audio/i001_A.wav
i001_pB_rB,i001,B,B,owl hooting at night,data/reference_audio/i001_B.wav
i002_pA_rA,i002,A,A,bird squawking,data/reference_audio/i002_A.wav
i002_pA_rB,i002,A,B,bird squawking,data/reference_audio/i002_B.wav
i002_pB_rA,i002,B,A,owl hooting at night,data/reference_audio/i002_A.wav
i002_pB_rB,i002,B,B,owl hooting at night,data/reference_audio/i002_B.wav
i003_pA_rA,i003,A,A,car engine starting,data/reference_audio/i003_A.wav
i003_pA_rB,i003,A,B,car engine starting,data/reference_audio/i003_B.wav
i003_pB_rA,i003,B,A,motorcycle engine revving loudly,data/reference_audio/i003_A.wav
i003_pB_rB,i003,B,B,motorcycle engine revving loudly,data/reference_audio/i003_B.wav
i004_pA_rA,i004,A,A,car engine starting,data/reference_audio/i004_A.wav
i004_pA_rB,i004,A,B,car engine starting,data/reference_audio/i004_B.wav
i004_pB_rA,i004,B,A,motorcycle engine revving loudly,data/reference_audio/i004_A.wav
i004_pB_rB,i004,B,B,motorcycle engine revving loudly,data/reference_audio/i004_B.wav
i005_pA_rA,i005,A,A,cat meowing,data/reference_audio/i005_A.wav
i005_pA_rB,i005,A,B,cat meowing,data/reference_audio/i005_B.wav
i005_pB_rA,i005,B,A,big wild cat growling deeply,data/reference_audio/i005_A.wav
i005_pB_rB,i005,B,B,big wild cat growling deeply,data/reference_audio/i005_B.wav
i006_pA_rA,i006,A,A,cat meowing,data/reference_audio/i006_A.wav
i006_pA_rB,i006,A,B,cat meowing,data/reference_audio/i006_B.wav
